,Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
152,Ruben Neves,WOL,MUN,M,95.0,0.01,0.01,1.48,0.51,1.77,33.02,41.23,2.83,1.05,0.49,0.50,0.63,0.86,2.82,1.75,0.15,1.10,0.17,1.70,0.00,0.22,1.22,0.01,0.00
153,Joao Moutinho,WOL,MUN,M,95.0,0.01,0.01,1.23,0.40,1.58,32.26,39.90,2.13,0.76,0.52,0.54,0.80,1.03,2.76,1.88,0.15,0.92,0.17,1.70,0.00,0.22,1.56,0.01,0.00
154,Joel Matip,LIV,CHE,D,95.0,0.01,0.01,1.15,0.15,0.30,39.74,46.51,0.01,0.00,3.00,0.02,0.03,0.70,1.29,0.89,1.28,3.35,0.29,1.25,0.00,0.49,0.47,0.25,0.00
155,Virgil van Dijk,LIV,CHE,D,95.0,0.01,0.01,1.15,0.04,0.51,40.48,47.25,0.01,0.00,2.79,0.02,0.03,0.70,1.08,0.79,1.39,3.66,0.29,1.25,0.00,0.28,0.36,0.25,0.00
156,Jacob Ramsey,AVL,BRE,M,95.0,0.01,0.01,0.92,0.23,0.56,23.12,28.70,1.05,0.51,1.23,0.61,0.55,0.99,1.83,1.31,0.02,1.77,0.34,1.10,0.00,1.76,1.37,0.08,0.00
157,Federico Fernandez,NEW,SOU,D,95.0,0.01,0.01,0.77,0.01,0.34,36.19,43.44,0.15,0.02,2.20,0.02,0.20,0.87,0.75,0.27,0.94,4.40,0.26,1.37,0.00,0.10,0.19,0.07,0.00
158,James Ward-Prowse,SOU,NEW,M,95.0,0.01,0.01,0.75,0.31,0.90,30.04,36.62,4.05,0.89,0.66,0.46,0.87,1.13,1.96,1.47,0.31,1.04,0.23,1.48,0.00,0.78,1.44,0.11,0.00
159,Andrew Robertson,LIV,CHE,D,95.0,0.01,0.01,0.73,0.04,0.30,27.39,32.37,0.01,0.00,1.94,0.02,0.03,0.60,1.08,0.79,1.28,2.50,0.29,1.25,0.00,0.28,0.36,0.25,0.00
160,Oriol Romeu,SOU,NEW,M,95.0,0.01,0.01,0.65,0.10,0.58,27.68,35.16,2.16,0.47,1.00,0.36,0.88,0.72,2.55,1.61,0.32,1.50,0.23,1.48,0.00,0.78,1.47,0.11,0.00
161,Douglas Luiz,AVL,BRE,M,95.0,0.01,0.01,0.64,0.23,0.42,17.49,21.95,0.91,0.37,1.08,0.47,0.55,0.99,1.26,0.89,0.02,1.34,0.34,1.10,0.00,1.05,0.95,0.08,0.00
162,Kieran Tierney,ARS,MCI,D,95.0,0.01,0.01,0.61,0.20,1.46,17.94,21.43,3.69,1.15,0.22,0.45,0.18,0.84,0.28,0.22,0.03,0.40,0.08,2.28,0.00,0.26,0.13,0.01,0.00
