web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
1624189734-2297,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Sergio Busquets,Slovakiet,Midtbane,2.536.000,"0,1%"
1624189734-2476,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Andreas  Skov Olsen,Tyrkiet,Forsvar,1.979.000,"0,1%"
1624189734-2010,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Gianluigi Donnarumma,Finland,Angreb,4.036.000,"0,7%"
1624189734-2339,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Reece James,Polen,Forsvar,2.490.000,"0,1%"
1624189734-2204,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Aymeric Laporte,Kroatien,Angreb,2.990.000,"0,4%"
1624189734-2407,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Eric García,Finland,Forsvar,2.027.000,"0,0%"
1624189734-2207,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new, P. Torres,Tjekkiet,Mål,2.990.000,"0,0%"
1624189734-2080,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Pedri Gonzalez Lopez,Spanien,Midtbane,3.526.000,"10,1%"
1624189734-2302,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Conor  Coady,Slovakiet,Midtbane,2.527.000,"0,1%"
1624189734-2094,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new, D. Llorente,Belgien,Angreb,3.490.000,"0,2%"
1624189734-2144,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Leonardo Spinazzola,Tjekkiet,Forsvar,3.166.000,"0,6%"
1624189734-1916,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Emerson,Tyskland,Midtbane,5.070.000,"5,1%"
1624189734-2449,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Ben White,Tjekkiet,Forsvar,1.990.000,"0,0%"
1624189734-1863,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Unai Simón,Frankrig,Angreb,8.576.000,"20,6%"
1624189734-2361,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Daniel Wass,Slovakiet,Forsvar,2.487.000,"0,0%"
1624189734-2470,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Mikkel Damsgaard,Wales,Midtbane,1.990.000,"0,2%"
1624189734-2240,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Salvatore Sirigu,Italien,Angreb,2.990.000,"0,1%"
1624189734-2098,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Alex Meret,Danmark,Forsvar,3.490.000,"26,2%"
